"workPid","dataPid","isPartOf","hasPart","relatedTo","xml:sortorder","copyrightStatus","lukasPhotoId","vkcId"
"http://mskgent.be/collection/work/data/2008-D-8","oai:datahub.vlaamsekunstcollectie.be:mskgent.be:2008-D-8",,,"http://mskgent.be/collection/work/data/2008-D-9",8,"http://rightsstatements.org/vocab/CNE/1.0/",20886000,100000015
"http://mskgent.be/collection/work/data/2008-D-9","oai:datahub.vlaamsekunstcollectie.be:mskgent.be:2008-D-9",,,"http://mskgent.be/collection/work/data/2008-D-10",9,"http://rightsstatements.org/vocab/CNE/1.0/",20887000,100000016
"http://mskgent.be/collection/work/data/2008-D-10","oai:datahub.vlaamsekunstcollectie.be:mskgent.be:2008-D-10",,,"http://mskgent.be/collection/work/data/2008-D-11",10,"http://rightsstatements.org/vocab/CNE/1.0/",20888000,100000017
"http://mskgent.be/collection/work/data/2008-D-11","oai:datahub.vlaamsekunstcollectie.be:mskgent.be:2008-D-11",,,"http://mskgent.be/collection/work/data/2008-D-12",11,"http://rightsstatements.org/vocab/CNE/1.0/",20889000,100000018
"http://mskgent.be/collection/work/data/2008-D-12","oai:datahub.vlaamsekunstcollectie.be:mskgent.be:2008-D-12",,,"http://mskgent.be/collection/work/data/2008-D-1,12","http://rightsstatements.org/vocab/CNE/1.0/",20890000,100000019
"http://mskgent.be/collection/work/id/1981-G","oai:datahub.vlaamsekunstcollectie.be:mskgent.be:1981-G",,,,,"https://creativecommons.org/publicdomain/zero/1.0/",20089000,100000020
"http://mskgent.be/collection/work/id/1909-HHH","oai:datahub.vlaamsekunstcollectie.be:mskgent.be:1909-HHH",,,,,"https://creativecommons.org/publicdomain/zero/1.0/",20032000,100000021
"http://mskgent.be/collection/work/id/1829-A","oai:datahub.vlaamsekunstcollectie.be:mskgent.be:1829-A",,,,,"https://creativecommons.org/publicdomain/zero/1.0/",20002000,100000022
"http://mskgent.be/collection/work/id/1914-IC","oai:datahub.vlaamsekunstcollectie.be:mskgent.be:1914-IC",,,,,"https://creativecommons.org/publicdomain/zero/1.0/",20037000,100000023
"http://mskgent.be/collection/work/id/S-97","oai:datahub.vlaamsekunstcollectie.be:mskgent.be:S-97",,,,,"https://creativecommons.org/publicdomain/zero/1.0/",20122000,100000024
"http://mskgent.be/collection/work/id/S-98","oai:datahub.vlaamsekunstcollectie.be:mskgent.be:S-98",,,,,"https://creativecommons.org/publicdomain/zero/1.0/",20121000,100000025
"http://mskgent.be/collection/work/id/1914-DN","oai:datahub.vlaamsekunstcollectie.be:mskgent.be:1914-DN",,,,,"https://creativecommons.org/publicdomain/zero/1.0/",20568001,100000026
"http://mskgent.be/collection/work/id/2005-A","oai:datahub.vlaamsekunstcollectie.be:mskgent.be:2005-A",,,,,"https://creativecommons.org/publicdomain/zero/1.0/",20876002,100000027
"http://kunstenenerfgoed.be/CVG/collection/work/id/BK_1869","oai:datahub.vlaamsekunstcollectie.be:mskgent.be:2002-L-175",,,,,"https://creativecommons.org/publicdomain/zero/1.0/",20959000,100000028
"http://mskgent.be/collection/work/id/1958-K","oai:datahub.vlaamsekunstcollectie.be:mskgent.be:1958-K",,,"http://mskgent.be/collection/work/id/1957-AD-1",3,"https://creativecommons.org/publicdomain/zero/1.0/",20834000,100000029
"http://mskgent.be/collection/work/id/1957-AD-2","oai:datahub.vlaamsekunstcollectie.be:mskgent.be:1957-AD-2",,,"http://mskgent.be/collection/work/id/1958-K",2,"https://creativecommons.org/publicdomain/zero/1.0/",20833000,100000030
"http://mskgent.be/collection/work/id/1957-AD-1","oai:datahub.vlaamsekunstcollectie.be:mskgent.be:1957-AD-1",,,"http://mskgent.be/collection/work/id/1957-AD-2",1,"https://creativecommons.org/publicdomain/zero/1.0/",20832000,100000031
"http://mskgent.be/collection/work/id/1903-A","oai:datahub.vlaamsekunstcollectie.be:mskgent.be:1903-A",,,,,"https://creativecommons.org/publicdomain/zero/1.0/",20019000,100000032
"http://mskgent.be/collection/work/id/1906-B","oai:datahub.vlaamsekunstcollectie.be:mskgent.be:1906-B",,,,,"https://creativecommons.org/publicdomain/zero/1.0/",20336000,100000033
