"Work PID","nl","en"
"http://mskgent.be/collection/work/id/1910-R","Portret van een oude pastoor","Portrait of an Old Priest"
"http://mskgent.be/collection/work/id/1938-M","Vrouwenprofiel en korenschoven","Profile of a Woman and Wheatsheaves"
"http://mskgent.be/collection/work/id/1914-BM","Meisjes in het veld","Girls in the Field"
"http://mskgent.be/collection/work/id/1912-E","Ondergaande zon","Sunset"
"http://mskgent.be/collection/work/id/1991-M","Fuga","Fugue"
"http://mskgent.be/collection/work/id/1979-J","Baadsters","Women Bathing"
"http://mskgent.be/collection/work/id/2003-AZ","Quelques images de la vie d'un artiste",
"http://mskgent.be/collection/work/id/1909-PPP-2","Kop van Pierre de Wissant",
"http://mskgent.be/collection/work/id/1999-Q","Boeren","Peasants"
"http://mskgent.be/collection/work/id/1999-M","Vegetatie","Vegetation"
"http://mskgent.be/collection/work/id/1934-U","Zittende vrouw bij het venster of Portret van Nel Duerinckx, de vrouw van de kunstenaar","Seated Woman at the Window or Portrait of Nel Deurinckx, the Artist’s Wife"
"http://mskgent.be/collection/work/id/1988-B","Portret van dokter Ludwig Adler","Portrait of the Physician Ludwig Adler"
"http://groeningemuseum.be/collection/work/id/0000_GRO0162_I","Portret van Margareta van Eyck",
"http://groeningemuseum.be/collection/work/id/0000_GRO0161_I","Madonna met kanunnik Joris van der Paele",
"http://groeningemuseum.be/collection/work/id/0000_GRO0204_I","Dood van Maria","Death of the Virgin"
"http://groeningemuseum.be/collection/work/id/0000_GRO0208_I","Laatste Oordeel","Last Judgement"
"http://groeningemuseum.be/collection/work/id/0000_GRO0208_I","Laatste Oordeel","Last Judgement"
"http://groeningemuseum.be/collection/work/id/0000_GRO0208_I","Laatste Oordeel","Last Judgement"
"http://groeningemuseum.be/collection/work/id/0000_GRO0091_I-0095_I","Moreel-triptiek",
"http://groeningemuseum.be/collection/work/id/0000_GRO0040_I-0041_I","Oordeel van Cambyses","Judgement of Cambyses"
"http://groeningemuseum.be/collection/work/id/0000_GRO0040_I-0041_I","Oordeel van Cambyses","Judgement of Cambyses"
"http://groeningemuseum.be/collection/work/id/0000_GRO0438_I","Kaart van het Brugse Vrije","Map of the Liberty of Bruges"
"http://groeningemuseum.be/collection/work/id/0000_GRO1280_I","Portret van Paulus de Nigro",
"http://groeningemuseum.be/collection/work/id/0000_GRO0108_I-0109_I","Portretten van Jan van Eyewerve en Jacquemyne Buuck",
"http://groeningemuseum.be/collection/work/id/0000_GRO0109_I","Portret van Jacquemyne Buuck","Portrait of Jacquemyne Buuck"
"http://groeningemuseum.be/collection/work/id/0000_GRO0108_I","Portret van Jan van Eyewerve",
"http://groeningemuseum.be/collection/work/id/0000_GRO0682_I","De Markt in Brugge","The Market Square in Bruges"
"http://groeningemuseum.be/collection/work/id/0000_GRO0299_I","Stilleven met vogels","Still Life with Birds"
"http://groeningemuseum.be/collection/work/id/1991_GRO0007_I","Achilles en de dochters van Lycomedes","Achilles among the Daughters of Lycomedes"
"http://groeningemuseum.be/collection/work/id/0000_GRO0497_I","De anatomische les","The Anatomy Lesson"
"http://groeningemuseum.be/collection/work/id/0000_GRO0235_I","Kaart van Brugge en de feodale gronden","Map of Bruges and the feudal Grounds"
"http://groeningemuseum.be/collection/work/id/0000_GRO0127_I","Stilleven met bloemen","Still Life with Flowers"
"http://groeningemuseum.be/collection/work/id/0000_GRO0249_I","Kaart van Brugge en de waterwegen","Map of Bruges and the Waterways"
"http://groeningemuseum.be/collection/work/id/0000_GRO1356_I","Het vieruurtje","Afternoon Tea"
"http://groeningemuseum.be/collection/work/id/0000_GRO1456_I","Eed van de kleermakers","Oath of the Taylors"
"http://groeningemuseum.be/collection/work/id/0000_GRO0735_II","De Heilig Bloedkapel en het Steen in Brugge","The Holy Blood chapel and the Steen in Bruges"
"http://groeningemuseum.be/collection/work/id/0000_GRO0156_I","Portret van Paul Josef de Cock","Portrait of Paul Josef de Cock"
"http://groeningemuseum.be/collection/work/id/0000_GRO0409_I","Landschap met Romeinse ruïnes","Landscape with Roman Ruins"
"http://groeningemuseum.be/collection/work/id/0000_GRO0159_I","Portret van Sylvie de la Rue",
"http://groeningemuseum.be/collection/work/id/0000_GRO0175_I","Historia - Tempus - Legenda",
"http://groeningemuseum.be/collection/work/id/0000_GRO0030_I","Zonnestraal na het onweer","Ray of Sun after the Storm"
"http://groeningemuseum.be/collection/work/id/0000_GRO0046_I","Oude vrouw met haar katten","Old woman with her cats"
"http://groeningemuseum.be/collection/work/id/0000_GRO0026_I","Scheldemonding","Mouth of the River Scheldt"
"http://groeningemuseum.be/collection/work/id/1973_GRO0114_VI","Madonna","Madonna"
"http://groeningemuseum.be/collection/work/id/0000_GRO1631_I","L'attentat",
"http://groeningemuseum.be/collection/work/id/0000_GRO1594_I","Kermis in Watermaal","Fair at Watermaal"
"http://groeningemuseum.be/collection/work/id/1985_GRO0033_I","De verliefden in het dorp","Lovers in the village"
"http://groeningemuseum.be/collection/work/id/2010_GRO0004_I","Portret van mevrouw Giroux","Portrait of Mrs. Giroux"
"http://groeningemuseum.be/collection/work/id/0000_GRO1623_I","De Bediening",
"http://groeningemuseum.be/collection/work/id/0000_GRO1327_I","Hooioogst te Jabbeke",
"http://groeningemuseum.be/collection/work/id/1975_GRO0005_I","Uw wereld in mijn tuin","Your World in my Garden"
"http://groeningemuseum.be/collection/work/id/1975_GRO0005_I","Uw wereld in mijn tuin","Your World in my Garden"
"http://groeningemuseum.be/collection/work/id/1975_GRO0005_I","Uw wereld in mijn tuin","Your World in my Garden"
"http://kmska.be/collection/work/id/257-260","Orsini Polyptiek",
"http://kmska.be/collection/work/id/257","Annunciatie",
"http://kmska.be/collection/work/id/258","Annunciatie",
"http://kmska.be/collection/work/id/259","Christus aan het kruis, \""De lanssteek\""",
